                                        CALPUFF        Version: 6.263          Level: 080827      
 **********************************************************************************************************************************

 CALPUFF test case run - 3 point sources                                         
 24-Hour Simulation using CALMET met. data                                       
 Gridded receptors on 17x17 20-km met grid                                       
 
                             -----------------------
                             Mass Balance (Timestep)
                                      (g)
                             -----------------------
 
                                        Advected                    Wet          Dry         Domain       Domain       Domain   
Year Day Hr Sec   Species      Emitted        Out      Transformed   Depletion    Depletion       Total       Surface       Aloft   
2017 337 20    0  SO2           7.67785E+05  7.48785E+05 -7.34660E+03  0.00000E+00  4.55726E+04  1.06288E+06  8.44292E+05  2.18584E+05
2017 337 20    0  SO4           0.00000E+00  1.17040E+04  1.10198E+04  0.00000E+00  5.99121E+00  7.86626E+03  5.16132E+03  2.70493E+03
2017 337 21    0  SO2           7.67785E+05  6.65930E+05 -6.54550E+03  0.00000E+00  4.31856E+04  1.11500E+06  8.99786E+05  2.15212E+05
2017 337 21    0  SO4           0.00000E+00  9.77852E+03  9.81819E+03  0.00000E+00  5.34778E+00  7.90059E+03  5.45023E+03  2.45036E+03
2017 337 22    0  SO2           7.67785E+05  5.45264E+05 -5.85411E+03  0.00000E+00  4.67979E+04  1.28487E+06  1.28487E+06  0.00000E+00
2017 337 22    0  SO4           0.00000E+00  7.68355E+03  8.78110E+03  0.00000E+00  5.24987E+00  8.99288E+03  8.99288E+03  0.00000E+00
2017 337 23    0  SO2           7.67784E+05  6.87245E+05 -4.92910E+03  0.00000E+00  5.55535E+04  1.30492E+06  1.30492E+06  0.00000E+00
2017 337 23    0  SO4           0.00000E+00  9.11836E+03  7.39360E+03  0.00000E+00  5.74451E+00  7.26238E+03  7.26238E+03  0.00000E+00
2017 337 24    0  SO2           7.67785E+05  6.69537E+05 -2.71689E+03  0.00000E+00  6.35077E+04  1.33695E+06  1.33695E+06  0.00000E+00
2017 337 24    0  SO4           0.00000E+00  6.76238E+03  4.07551E+03  0.00000E+00  5.15422E+00  4.57036E+03  4.57036E+03  0.00000E+00
