              3D.DAT Grid Points
      X           Y        Longitude    Latitude
    (km)        (km)        (deg E)     (deg N)
     717.958    1299.684     275.000      11.750
     390.988    1285.279     272.000      11.625
     404.615    1285.234     272.125      11.625
     418.242    1285.195     272.250      11.625
     431.869    1285.162     272.375      11.625
     445.496    1285.135     272.500      11.625
     459.122    1285.114     272.625      11.625
     472.748    1285.099     272.750      11.625
     486.374    1285.090     272.875      11.625
     500.000    1285.088     273.000      11.625
     513.626    1285.090     273.125      11.625
     527.252    1285.099     273.250      11.625
     540.878    1285.114     273.375      11.625
     554.504    1285.135     273.500      11.625
     568.131    1285.162     273.625      11.625
     581.758    1285.195     273.750      11.625
     595.385    1285.234     273.875      11.625
     609.012    1285.279     274.000      11.625
     622.640    1285.330     274.125      11.625
     636.269    1285.387     274.250      11.625
     649.898    1285.450     274.375      11.625
     663.528    1285.519     274.500      11.625
     677.159    1285.594     274.625      11.625
     690.790    1285.675     274.750      11.625
     704.422    1285.762     274.875      11.625
     718.055    1285.855     275.000      11.625
     390.939    1271.455     272.000      11.500
     404.573    1271.411     272.125      11.500
     418.206    1271.372     272.250      11.500
     431.839    1271.340     272.375      11.500
     445.472    1271.313     272.500      11.500
     459.104    1271.292     272.625      11.500
     472.736    1271.277     272.750      11.500
     486.368    1271.269     272.875      11.500
     500.000    1271.266     273.000      11.500
     513.632    1271.269     273.125      11.500
     527.264    1271.277     273.250      11.500
     540.896    1271.292     273.375      11.500
     554.528    1271.313     273.500      11.500
     568.161    1271.340     273.625      11.500
     581.794    1271.372     273.750      11.500
     595.427    1271.411     273.875      11.500
     609.061    1271.455     274.000      11.500
     622.695    1271.506     274.125      11.500
     636.330    1271.562     274.250      11.500
     649.965    1271.625     274.375      11.500
     663.601    1271.693     274.500      11.500
     677.237    1271.767     274.625      11.500
     690.875    1271.847     274.750      11.500
     704.513    1271.933     274.875      11.500
     718.152    1272.025     275.000      11.500
