TimeBeginning,ElPanama_raw,ElPanama_KNN
2017-03-05 16:00:00,24.65105,24.65105
2017-03-05 17:00:00,50.768390000000004,50.768390000000004
2017-03-05 18:00:00,150.06389,150.06389
2017-03-05 19:00:00,49.07345,49.07345
2017-03-05 20:00:00,29.71361,29.71361
2017-03-05 21:00:00,25.08512,25.08512
2017-03-05 22:00:00,60.20345,60.20345
2017-03-05 23:00:00,105.5105,105.5105
2017-03-06 00:00:00,34.178329999999995,34.178329999999995
2017-03-06 01:00:00,9.671660000000001,9.671660000000001
2017-03-06 02:00:00,10.04849,10.04849
2017-03-06 03:00:00,38.20262,38.20262
2017-03-06 04:00:00,140.05166,140.05166
2017-03-06 05:00:00,88.38461,88.38461
2017-03-06 06:00:00,78.24677,78.24677
2017-03-06 07:00:00,46.19873,46.19873
2017-03-06 08:00:00,77.24189,77.24189
2017-03-06 09:00:00,110.12945,110.12945
2017-03-06 10:00:00,49.96544,49.96544
2017-03-06 11:00:00,17.5835,17.5835
2017-03-06 12:00:00,,49.855431715170404
2017-03-06 13:00:00,,49.73729258800395
2017-03-06 14:00:00,,45.672121358777886
2017-03-06 15:00:00,1.7502799999999998,1.7502799999999998
2017-03-06 16:00:00,,45.158722415634514
2017-03-06 17:00:00,,49.408816004704384
2017-03-06 18:00:00,,50.07923027548261
2017-03-06 19:00:00,6.90188,6.90188
2017-03-06 20:00:00,135.09722,135.09722
2017-03-06 21:00:00,82.26788,82.26788
2017-03-06 22:00:00,4.79672,4.79672
2017-03-06 23:00:00,27.84695,27.84695
2017-03-07 00:00:00,25.91033,25.91033
2017-03-07 01:00:00,14.78033,14.78033
2017-03-07 02:00:00,21.09422,21.09422
2017-03-07 03:00:00,63.46771999999999,63.46771999999999
2017-03-07 04:00:00,18.39599,18.39599
2017-03-07 05:00:00,167.42033,167.42033
2017-03-07 06:00:00,123.59038999999999,123.59038999999999
2017-03-07 07:00:00,96.12473,96.12473
2017-03-07 08:00:00,76.90321999999999,76.90321999999999
2017-03-07 09:00:00,18.935,18.935
2017-03-07 10:00:00,8.282,8.282
2017-03-07 11:00:00,,53.39691752957359
2017-03-07 12:00:00,,59.37054011174963
2017-03-07 13:00:00,,61.40291387517299
2017-03-07 14:00:00,,63.14319148373423
2017-03-07 15:00:00,,64.47923493605562
2017-03-07 16:00:00,,65.2678760049984
2017-03-07 17:00:00,,65.92234848569086
2017-03-07 18:00:00,,66.78831237474117
2017-03-07 19:00:00,,66.60310053670186
2017-03-07 20:00:00,,66.6645374634421
2017-03-07 21:00:00,,64.5420874200783
2017-03-07 22:00:00,8.45372,8.45372
2017-03-07 23:00:00,135.11312,135.11312
2017-03-08 00:00:00,97.64795,97.64795
2017-03-08 01:00:00,97.62250999999999,97.62250999999999
2017-03-08 02:00:00,89.89034000000001,89.89034000000001
2017-03-08 03:00:00,142.93433000000002,142.93433000000002
2017-03-08 04:00:00,91.80311,91.80311
2017-03-08 05:00:00,34.529720000000005,34.529720000000005
2017-03-08 06:00:00,54.47945,54.47945
2017-03-08 07:00:00,50.68094,50.68094
2017-03-08 08:00:00,72.10778,72.10778
2017-03-08 09:00:00,91.13372,91.13372
2017-03-08 10:00:00,55.43026999999999,55.43026999999999
2017-03-08 11:00:00,49.145,49.145
2017-03-08 12:00:00,50.932159999999996,50.932159999999996
2017-03-08 13:00:00,12.28562,12.28562
2017-03-08 14:00:00,49.33739,49.33739
2017-03-08 15:00:00,42.50516,42.50516
2017-03-08 16:00:00,75.43406,75.43406
2017-03-08 17:00:00,6.26588,6.26588
2017-03-08 18:00:00,139.76705,139.76705
2017-03-08 19:00:00,119.96201,119.96201
2017-03-08 20:00:00,94.301,94.301
2017-03-08 21:00:00,75.58511,75.58511
2017-03-08 22:00:00,100.15856,100.15856
